item_id,descricao,quantidade_informada,quantidade_encontrada,status,tentativas,mensagem
IMP-001,Componente eletrônico A,10,10,pendente,0,
IMP-002,Componente eletrônico B,20,18,pendente,0,
IMP-003,Componente eletrônico C,5,5,pendente,0,
IMP-004,Componente eletrônico D,12,12,pendente,0,
IMP-005,Componente eletrônico E,8,6,pendente,0,
IMP-006,Componente eletrônico F,15,15,pendente,0,
IMP-007,Componente eletrônico G,30,30,pendente,0,
IMP-008,Componente eletrônico H,24,22,pendente,0,
IMP-009,Componente eletrônico I,9,9,pendente,0,
IMP-010,Componente eletrônico J,18,17,pendente,0,
IMP-011,Componente eletrônico K,7,7,pendente,0,
IMP-012,Componente eletrônico L,40,40,pendente,0,
